Linha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
503,2,2,2,2,2,2,1,1,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2
745,0,0,0,0,0,0,11,12,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,23,23,23,23,23,23,27,26,23,21,23,25,25,26,22,0,0,0,0,0,0,0,0,0
625,5,3,3,3,4,6,15,18,18,17,18,17,18,17,15,16,14,16,18,19,20,16,15,7
504,3,2,3,3,5,2,4,3,2,3,3,3,1,2,2,3,3,3,4,4,3,2,2,2
746,9,9,8,7,8,12,10,12,13,13,14,13,12,10,10,0,0,0,0,0,0,0,0,0
505,1,0,0,1,3,3,3,3,3,3,3,2,1,2,1,2,3,4,4,3,3,2,1,0
626,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
627,20,19,19,19,17,14,14,16,17,17,18,17,17,18,17,19,19,18,20,20,20,20,20,20
628,3,1,1,3,10,32,25,16,15,14,14,14,15,14,15,16,18,19,19,18,17,13,12,8
507,1,0,0,0,0,0,0,0,0,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
629,31,31,30,18,11,14,22,31,30,31,31,32,34,33,33,32,32,32,33,33,33,33,33,34
SP404,0,0,0,0,0,0,3,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,2,2,2,2,2,2,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
630,22,21,19,20,13,18,23,27,26,27,27,26,26,26,26,26,22,25,22,22,23,22,23,21
752,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
511,8,6,8,8,9,10,8,8,8,8,9,9,8,8,8,8,8,8,8,8,8,8,8,8
512,8,9,9,8,9,11,12,10,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,8
754,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2145,7,6,7,7,6,8,7,6,7,6,6,6,5,5,5,4,5,5,5,6,5,5,4,4
